,date,country_code_a,country_code_b,relations_score,num_verbal_coop,num_material_coop,num_verbal_conf,num_material_conf
93,2022-03-01,YEM,AFR,-1.6911575513807675,0,0,0,3
94,2022-03-01,ZAF,AFR,-0.11285328022624949,45,13,25,23
95,2022-03-01,AFR,ZMB,-3.0082312725112543,3,0,0,2
96,2022-03-01,AFR,ZWE,0.5186227116587695,3,0,0,3
97,2022-03-01,AGO,BWA,1.1749999999999998,8,0,0,0
98,2022-03-01,CUB,AGO,1.6518206499702768,3,0,0,0
99,2022-03-01,AGO,DJI,1.1749999999999998,8,0,0,0
100,2022-03-01,AGO,KEN,1.1749999999999998,4,0,0,0
101,2022-03-01,AGO,MLT,1.5604200058040008,3,0,0,0
102,2022-03-01,AGO,MOZ,1.1749999999999998,4,0,0,0
103,2022-03-01,AGO,MWI,1.1749999999999998,4,0,0,0
104,2022-03-01,AGO,NGA,-0.5352289474671654,4,0,1,0
105,2022-03-01,AGO,RWA,0.5426771403697137,4,0,1,0
106,2022-03-01,AGO,TZA,1.1749999999999998,4,0,0,0
107,2022-03-01,AGO,UGA,1.1749999999999998,4,0,0,0
108,2022-03-01,AGO,USA,1.1749999999999998,4,0,0,0
109,2022-03-01,ZMB,AGO,0.5738552626641733,2,0,0,0
110,2022-03-01,ALB,BRA,0.08331439759984219,4,0,0,0
111,2022-03-01,EUR,ALB,-1.9866142981514305,0,1,0,0
112,2022-03-01,ALB,FRA,0.061440888771436615,5,0,1,0
113,2022-03-01,ALB,GAB,0.05172511398210023,6,0,0,0
114,2022-03-01,GBR,ALB,-0.10791725977254937,2,0,0,3
115,2022-03-01,ALB,GHA,0.05172511398210023,6,0,0,0
116,2022-03-01,GRC,ALB,-0.16353020784914588,2,0,0,2
117,2022-03-01,NLD,ALB,-4.966535745378576,0,0,0,1
118,2022-03-01,ALB,RUS,-2.5,0,0,2,2
119,2022-03-01,AND,ESP,0.07019029230279884,8,0,2,0
120,2022-03-01,AND,GBR,0.5233940001993392,29,0,0,0
121,2022-03-01,AND,KNA,0.6391414601265024,20,0,0,0
122,2022-03-01,AND,TCD,0.27439408942499094,22,1,0,0
123,2022-03-01,ARE,AUT,0.12590346973464095,4,0,0,0
124,2022-03-01,ARE,BGD,4.616156209680013,3,0,0,0
125,2022-03-01,ARE,CHE,0.9144008326579833,1,0,0,0
126,2022-03-01,ARE,CHN,0.6558444359634169,15,3,0,0
127,2022-03-01,ARE,CYP,0.5822165150881691,2,0,0,0
128,2022-03-01,ARE,DNK,0.81331894217588,5,0,0,0
