,Global_Event_ID,Day,YYYYMM,YYYY,Day_Time,Actor_1_Country_Code,Actor_1_Name,Actor_1_Country_ABBR,Actor_1_Known_Group_Code,Actor_1_Ethnic_Code,Actor_1_Religion_Code,Actor_1_Religion_2_Code,Actor_1_Role,Actor_1_Role2,Actor_1_Role3,Actor_2_Country_Code,Actor_2_Name,Actor_2_Country_ABBR,Actor_2_Know_Group_Code,Actor_2_Ethnic_Code,Actor_2_Religion_Code,Actor_2_Religion_2_Code,Actor_2_Role,Actor_2_Role2,Actor_2_Role3,Is_Root_Event,Event_Code,Event_Base_Code,Event_Root_Code,Quad_Class,Goldstein_Scale,Num_Mentions,Num_Sources,Num_Articles,AVG_TONE,Actor_1_Geo_Type,Actor_1_Geo_FullName,Actor_1_Geo_Country_Code,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor_2_Geo_Type,Actor_2_Geo_FullName,Actor_2_Geo_Country_Code,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,Mention_Type,ST_PR_CNTRY,Country,ADM1Code_Extra,ADM2Code_Extra,Lat_Extra,Long_Extra,ActorGeo_FeaturID_Extra,Date_Added,Source_URL,Confidence
0,954727600,20201115,202011,2020,2020.863,AFG,AFGHANISTAN,AFG,,,,,,,,EGY,EGYPT,EGY,,,,,,,,0,190,190,19,4,-10.0,1,1,1,-5.45938748335552,1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Egypt,EG,EG,,27.0,30.0,EG,1,Russia,RS,RS,,60.0,100.0,RS,20201115000000,https://www.albawaba.com/news/al-qaeda-no-2-leader-killed-israeli-agents-tehran-1392656,10
1,954727602,20201115,202011,2020,2020.863,AFG,AFGHANISTAN,AFG,,,,,,,,IMGSASMOS,ALTAF HUSSAIN,SAS,,,MOS,,IMG,,,0,071,71,7,2,7.4,2,1,2,-5.35441101478838,4,"Jalalabad, Nangarhar, Afghanistan",AF,AF18,99928,34.4265,70.4515,-3377673,4,"New Delhi, Delhi, India",IN,IN07,17911,28.6,77.2,-2106102,4,"New Delhi, Delhi, India",IN,IN07,17911,28.6,77.2,-2106102,20201115000000,https://tribune.com.pk/story/2272201/pakistan-presents-irrefutable-evidence-of-indias-sponsorship-of-terror-to-sabotage-cpec,20
2,954727603,20201115,202011,2020,2020.863,AFG,AFGHANISTAN,AFG,,,,,,,,IMGSASMOS,ALTAF HUSSAIN,SAS,,,MOS,,IMG,,,0,071,71,7,2,7.4,2,1,2,-5.35441101478838,4,"Jalalabad, Nangarhar, Afghanistan",AF,AF18,99928,34.4265,70.4515,-3377673,4,"Jalalabad, Nangarhar, Afghanistan",AF,AF18,99928,34.4265,70.4515,-3377673,4,"Jalalabad, Nangarhar, Afghanistan",AF,AF18,99928,34.4265,70.4515,-3377673,20201115000000,https://tribune.com.pk/story/2272201/pakistan-presents-irrefutable-evidence-of-indias-sponsorship-of-terror-to-sabotage-cpec,20
3,954727605,20201115,202011,2020,2020.863,AFG,AFGHANISTAN,AFG,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,190,190,19,4,-10.0,3,1,3,-5.45938748335552,1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20201115000000,https://www.albawaba.com/news/al-qaeda-no-2-leader-killed-israeli-agents-tehran-1392656,30
4,954727606,20201115,202011,2020,2020.863,AFG,AFGHANISTAN,AFG,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,190,190,19,4,-10.0,1,1,1,-5.45938748335552,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,20201115000000,https://www.albawaba.com/news/al-qaeda-no-2-leader-killed-israeli-agents-tehran-1392656,10
5,954727607,20201115,202011,2020,2020.863,AFG,AFGHANISTAN,AFG,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-5.45938748335552,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20201115000000,https://www.albawaba.com/news/al-qaeda-no-2-leader-killed-israeli-agents-tehran-1392656,20
6,954727610,20201115,202011,2020,2020.863,AFG,AFGHAN,AFG,,,,,,,,USAMED,REUTERS,USA,,,,,MED,,,1,010,10,1,1,0.0,12,2,12,-4.07091706867188,1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Afghanistan,AF,AF,,33.0,66.0,AF,20201115000000,https://in.reuters.com/article/instant-article/idINKBN27U02L,60
7,954727611,20201115,202011,2020,2020.863,AFG,AFGHANISTAN,AFG,,,,,,,,USAMED,REUTERS,USA,,,,,MED,,,1,013,13,1,1,0.4,4,2,4,-4.07091706867188,1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Afghanistan,AF,AF,,33.0,66.0,AF,1,Afghanistan,AF,AF,,33.0,66.0,AF,20201115000000,https://in.reuters.com/article/instant-article/idINKBN27U02L,20
8,954727620,20201115,202011,2020,2020.863,AFR,AFRICA,AFR,,,,,,,,NGAGOVAGR,AHMED ABDULLAH,NGA,,,,,GOV,AGR,,1,190,190,19,4,-10.0,6,1,6,-5.45938748335552,1,Kenya,KE,KE,,1.0,38.0,KE,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20201115000000,https://www.albawaba.com/news/al-qaeda-no-2-leader-killed-israeli-agents-tehran-1392656,60
9,954727621,20201115,202011,2020,2020.863,AFR,AFRICA,AFR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,042,42,4,1,1.9,8,1,8,0.46082949308756,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20201115000000,https://www.geeskaafrika.com/russias-first-overseas-military-base-in-sudan/,80
