,Global_Event_ID,Day,YYYYMM,YYYY,Day_Time,Actor_1_Country_Code,Actor_1_Name,Actor_1_Country_ABBR,Actor_1_Known_Group_Code,Actor_1_Ethnic_Code,Actor_1_Religion_Code,Actor_1_Religion_2_Code,Actor_1_Role,Actor_1_Role2,Actor_1_Role3,Actor_2_Country_Code,Actor_2_Name,Actor_2_Country_ABBR,Actor_2_Know_Group_Code,Actor_2_Ethnic_Code,Actor_2_Religion_Code,Actor_2_Religion_2_Code,Actor_2_Role,Actor_2_Role2,Actor_2_Role3,Is_Root_Event,Event_Code,Event_Base_Code,Event_Root_Code,Quad_Class,Goldstein_Scale,Num_Mentions,Num_Sources,Num_Articles,AVG_TONE,Actor_1_Geo_Type,Actor_1_Geo_FullName,Actor_1_Geo_Country_Code,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor_2_Geo_Type,Actor_2_Geo_FullName,Actor_2_Geo_Country_Code,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,Mention_Type,ST_PR_CNTRY,Country,ADM1Code_Extra,ADM2Code_Extra,Lat_Extra,Long_Extra,ActorGeo_FeaturID_Extra,Date_Added,Source_URL,Confidence
0,954708254,20201114,202011,2020,2020.8603,AFGINSTAL,TALIBAN,AFG,TAL,,,,INS,,,USA,AMERICAN,USA,,,,,,,,0,190,190,19,4,-10.0,3,1,3,-2.13544844417328,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20201114071500,https://www.washingtonpost.com/national-security/trump-pentagon-afghan-war/2020/11/13/5ac54c7e-25cb-11eb-8599-406466ad1b8e_story.html,30
1,954708263,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,COD,THE DRC,COD,,,,,,,,1,026,26,2,1,4.0,8,1,8,0.48721071863581,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,4,"Cairo, Al Qahirah, Egypt",EG,EG11,65350,30.05,31.25,-290692,1,Ethiopia,ET,ET,,8.0,38.0,ET,20201114071500,https://www.ippmedia.com/en/features/egypt-hopeful-congo-au-presidency-delegation-will-help-nile-dam,80
2,954708264,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,COD,THE DRC,COD,,,,,,,,1,026,26,2,1,4.0,2,1,2,0.48721071863581,1,Ethiopia,ET,ET,,8.0,38.0,ET,1,Ethiopia,ET,ET,,8.0,38.0,ET,1,Ethiopia,ET,ET,,8.0,38.0,ET,20201114071500,https://www.ippmedia.com/en/features/egypt-hopeful-congo-au-presidency-delegation-will-help-nile-dam,20
3,954708265,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,CPV,CAPE VERDE,CPV,,,,,,,,1,043,43,4,1,2.8,2,1,2,-7.53623188405797,1,Cape Verde,CV,CV,,16.0,-24.0,CV,1,Cape Verde,CV,CV,,16.0,-24.0,CV,1,Cape Verde,CV,CV,,16.0,-24.0,CV,20201114071500,https://www.reuters.com/article/us-venezuela-corruption-idUSKCN24N1VJ,20
4,954708266,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,CPV,CAPE VERDE,CPV,,,,,,,,1,043,43,4,1,2.8,2,1,2,-7.53623188405797,1,United States,US,US,,39.828175,-98.5795,US,1,Cape Verde,CV,CV,,16.0,-24.0,CV,1,United States,US,US,,39.828175,-98.5795,US,20201114071500,https://www.reuters.com/article/us-venezuela-corruption-idUSKCN24N1VJ,20
5,954708267,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,EGY,EGYPT,EGY,,,,,,,,0,051,51,5,1,3.4,2,1,2,0.48721071863581,4,"Nile River, Egypt (general), Egypt",EG,EG00,65817,30.1667,31.1,-300347,4,"Nile River, Egypt (general), Egypt",EG,EG00,65817,30.1667,31.1,-300347,4,"Nile River, Egypt (general), Egypt",EG,EG00,65817,30.1667,31.1,-300347,20201114071500,https://www.ippmedia.com/en/features/egypt-hopeful-congo-au-presidency-delegation-will-help-nile-dam,20
6,954708270,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,NAM,NAMIBIA,NAM,,,,,,,,1,057,57,5,1,8.0,3,1,3,-3.41176470588235,4,"Cabo Delgado, Cabo Delgado, Mozambique",MZ,MZ01,21846,-10.7067,40.6328,-312482,4,"Cabo Delgado, Cabo Delgado, Mozambique",MZ,MZ01,21846,-10.7067,40.6328,-312482,4,"Cabo Delgado, Cabo Delgado, Mozambique",MZ,MZ01,21846,-10.7067,40.6328,-312482,20201114071500,https://southerntimesafrica.com/site/news/soldier-of-fortune,30
7,954708271,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,NAM,NAMIBIA,NAM,,,,,,,,1,057,57,5,1,8.0,1,1,1,-3.41176470588235,1,Malawi,MI,MI,,-13.5,34.0,MI,1,Botswana,BC,BC,,-22.0,24.0,BC,1,Namibia,WA,WA,,-22.0,17.0,WA,20201114071500,https://southerntimesafrica.com/site/news/soldier-of-fortune,10
8,954708272,20201114,202011,2020,2020.8603,AFR,AFRICA,AFR,,,,,,,,NAM,NAMIBIA,NAM,,,,,,,,1,057,57,5,1,8.0,1,1,1,-3.41176470588235,1,South Africa,SF,SF,,-30.0,26.0,SF,1,Namibia,WA,WA,,-22.0,17.0,WA,1,Namibia,WA,WA,,-22.0,17.0,WA,20201114071500,https://southerntimesafrica.com/site/news/soldier-of-fortune,10
9,954708275,20201114,202011,2020,2020.8603,ARE,DUBAI,ARE,,,,,,,,BHR,BAHRAIN,BHR,,,,,,,,1,042,42,4,1,1.9,2,1,2,-1.30208333333333,1,Kuwait,KU,KU,,29.5,47.75,KU,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,2,"Minnesota, United States",US,USMN,,45.7326,-93.9196,MN,20201114071500,https://www.military.com/daily-news/2020/11/13/us-military-flew-terminally-ill-bahrain-premier-america.html,20
